,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,gen_2,reliability,penalized_avg_obj
62,2.0,137133.57450414996,144018.49663254435,1889.909900071877,0.07611574920941824,162.73712069491242,0.045,12099.570044620405,,,2,4,20,25,0,0.955,149233.14454877036
63,2.0,137301.63263135974,143862.85056871615,1869.282167731055,0.07808205492996675,162.99037601887633,0.041,13036.066856806628,,,2,6,18,23,0,0.959,150337.69948816637
64,2.0,137459.5895175903,143749.00716386474,1856.763423503955,0.08336607852816234,163.2079075503971,0.038,13451.337065292268,,,2,8,15,23,0,0.962,150910.92658288256
65,2.0,137590.1326172417,143976.31662280232,1847.996731511315,0.09828292678369599,163.40333882919035,0.028,10955.118905811481,,,2,10,8,20,0,0.972,148545.2515230532
66,2.0,137704.15763020155,144080.17748529668,1834.7482807635886,0.09817233593247227,163.58384675641156,0.027,10733.347726806507,,,2,12,13,14,0,0.973,148437.50535700805
67,2.0,137583.356671261,144220.96415798098,1878.5751487281361,0.05360448091822044,161.36758295481093,0.061,6882.920802517054,,,4,0,28,35,0,0.9390000000000001,144466.27747377806
68,2.0,139455.07440378447,145675.50794124763,1841.6815973164425,0.057698376000077864,162.2364749585036,0.054,12547.361686733571,,,4,2,28,29,0,0.946,152002.43609051805
69,2.0,137098.17384725023,143793.4702664207,1876.7421518541048,0.0712165826331833,162.74976097498484,0.051,14621.32466012732,,,4,4,23,28,0,0.949,151719.49850737755
70,2.0,137212.63185447207,143642.08608024093,1861.6104170464532,0.0734747449026073,163.00307739769477,0.053,16157.80921303579,,,4,6,26,28,0,0.947,153370.44106750787
71,2.0,137435.44240440286,143641.7599358255,1861.8662140191084,0.08594163017685312,163.22064468731227,0.046,16626.22157910316,,,4,8,18,28,0,0.954,154061.663983506
72,2.0,137560.28330494088,144023.8598336754,1853.1544395864623,0.10057036025132175,163.41610604580512,0.038,13551.632095293324,,,4,10,14,24,0,0.962,151111.9154002342
73,2.0,137695.7070668561,144058.685444767,1845.435936827691,0.10414533432677661,163.5966396973915,0.028,12716.79939976654,,,4,12,14,15,0,0.972,150412.50646662264
74,2.0,136702.9802414717,143553.9642807905,1900.4200932457156,0.07333209270085132,161.90161462612826,0.06,6489.722963445198,,,6,0,28,34,0,0.94,143192.7032049169
75,2.0,136826.44861762458,143632.67019282657,1887.6130071180087,0.06793320564518403,162.461557367977,0.053,11893.543990998563,,,6,2,26,29,0,0.947,148719.99260862314
76,2.0,137030.80566605992,143663.67630573674,1879.1510019751554,0.06750176865242723,162.75049727413213,0.051,15068.457335796558,,,6,4,23,28,0,0.949,152099.26300185648
77,2.0,137272.60205264483,143879.42221421425,1872.5220419979357,0.08314919192445176,163.0040876961828,0.056,16745.356648557754,,,6,6,26,31,0,0.944,154017.9587012026
78,2.0,137425.02867671716,143700.03355394772,1858.5041140754427,0.08651727052200311,163.22165727070205,0.048,17178.98176268663,,,6,8,18,30,0,0.952,154604.0104394038
79,2.0,137561.80613185314,144025.71691001195,1854.8356126312597,0.10168263778818953,163.41712064873067,0.04,14038.609976455211,,,6,10,15,25,0,0.96,151600.41610830836
80,2.0,137692.33304913182,144096.85426271235,1846.1209144035045,0.10618180425096375,163.59765594767944,0.029,13349.17505736907,,,6,12,15,15,0,0.971,151041.5081065009
81,2.0,138040.73161075034,144687.7368608048,1882.838693942773,0.07831199437447453,160.02700755283698,0.044,4616.9778907246355,,,8,0,25,20,0,0.956,142657.70950147498
82,2.0,141065.60848487084,147328.0201199125,1810.7647276016057,0.0738549947336542,162.00639586229082,0.054,12653.192348666604,,,8,2,28,29,0,0.946,153718.80083353745
83,2.0,137067.57512481522,143848.6204840398,1879.1738729729063,0.07257802773859187,162.75040800420817,0.051,14866.546564480224,,,8,4,23,28,0,0.949,151934.12168929545
84,2.0,137272.6639595796,143878.52220587648,1872.4612170255475,0.08313919260821546,163.00409817922684,0.056,16743.36094830693,,,8,6,26,31,0,0.944,154016.02490788652
85,2.0,137426.2918519825,143645.42448367033,1861.0655049782213,0.08622466624166453,163.2216676192895,0.048,17179.481721779797,,,8,8,18,30,0,0.952,154605.7735737623
86,2.0,137559.4591012026,143981.18716714473,1855.645394352216,0.10062051769639499,163.4171307217185,0.04,14043.258781914963,,,8,10,15,25,0,0.96,151602.71788311756
